,STAD,READ,COAD,ESCA,HNSC
1318,34.0,6.0,18.0,16.0,78.0
133926,1.0,0.0,6.0,2.0,3.0
156456,1.0,0.0,6.0,1.0,3.0
1328,40.0,13.0,21.0,13.0,82.0
713008,27.0,14.0,23.0,15.0,81.0
1661745,2.0,3.0,11.0,1.0,0.0
177972,22.0,5.0,7.0,5.0,52.0
1321783,23.0,7.0,10.0,7.0,65.0
824,17.0,0.0,35.0,17.0,79.0
1032505,8.0,12.0,27.0,2.0,3.0
1287488,1.0,5.0,16.0,0.0,1.0
1643331,8.0,0.0,0.0,0.0,0.0
1643332,1.0,0.0,0.0,0.0,0.0
713030,1.0,0.0,7.0,3.0,2.0
1156433,2.0,0.0,0.0,0.0,1.0
665939,43.0,0.0,36.0,21.0,62.0
851,44.0,23.0,53.0,22.0,111.0
712532,2.0,0.0,11.0,1.0,0.0
515414,2.0,9.0,17.0,0.0,0.0
563031,81.0,14.0,29.0,39.0,134.0
76122,80.0,20.0,52.0,37.0,107.0
1150298,12.0,2.0,16.0,0.0,0.0
859,28.0,7.0,22.0,8.0,55.0
860,44.0,24.0,77.0,25.0,45.0
39777,44.0,5.0,21.0,18.0,81.0
1497954,21.0,11.0,5.0,10.0,55.0
39778,31.0,0.0,54.0,13.0,28.0
221027,1.0,0.0,4.0,0.0,1.0
1382,22.0,0.0,0.0,16.0,65.0
360807,12.0,35.0,102.0,0.0,17.0
1392486,4.0,11.0,17.0,0.0,3.0
706435,49.0,0.0,0.0,31.0,103.0
28037,52.0,0.0,21.0,23.0,40.0
237446,20.0,0.0,0.0,0.0,0.0
652706,1.0,0.0,18.0,1.0,0.0
652708,2.0,0.0,11.0,3.0,4.0
135080,18.0,0.0,8.0,10.0,55.0
652713,15.0,3.0,3.0,5.0,8.0
218538,43.0,14.0,45.0,22.0,89.0
1715113,1.0,10.0,6.0,0.0,0.0
179628,14.0,0.0,0.0,0.0,0.0
135082,1.0,0.0,12.0,0.0,0.0
135083,24.0,0.0,6.0,16.0,58.0
1715116,1.0,0.0,0.0,0.0,0.0
652721,1.0,6.0,12.0,0.0,1.0
936370,1.0,0.0,0.0,0.0,0.0
712118,4.0,0.0,12.0,1.0,1.0
936375,23.0,8.0,10.0,9.0,62.0
1917878,30.0,18.0,21.0,9.0,30.0
187326,53.0,0.0,27.0,23.0,83.0
56774,26.0,7.0,16.0,11.0,24.0
197575,1.0,0.0,0.0,0.0,0.0
118748,24.0,3.0,7.0,7.0,71.0
267212,4.0,0.0,0.0,1.0,1.0
1852365,30.0,14.0,26.0,17.0,84.0
1852368,52.0,0.0,0.0,28.0,82.0
28112,1.0,0.0,17.0,0.0,6.0
28114,16.0,8.0,6.0,6.0,40.0
113107,26.0,4.0,11.0,17.0,48.0
712148,1.0,0.0,15.0,0.0,3.0
425941,63.0,6.0,25.0,36.0,112.0
28118,15.0,38.0,99.0,6.0,53.0
410072,12.0,28.0,98.0,0.0,0.0
51160,1.0,0.0,14.0,0.0,3.0
176090,1.0,8.0,2.0,0.0,0.0
28123,13.0,2.0,15.0,0.0,48.0
28124,12.0,0.0,22.0,0.0,34.0
28125,33.0,0.0,14.0,12.0,87.0
1502,23.0,9.0,27.0,0.0,0.0
28127,24.0,15.0,37.0,17.0,75.0
28128,6.0,12.0,11.0,0.0,3.0
28129,24.0,0.0,30.0,14.0,80.0
28126,30.0,5.0,10.0,14.0,74.0
28130,32.0,14.0,20.0,18.0,79.0
28131,69.0,13.0,46.0,28.0,111.0
28132,76.0,0.0,32.0,44.0,126.0
28134,21.0,3.0,8.0,11.0,70.0
28135,45.0,6.0,17.0,19.0,89.0
1852388,15.0,5.0,18.0,5.0,18.0
28137,57.0,11.0,33.0,30.0,115.0
490,1.0,3.0,0.0,0.0,0.0
671213,20.0,5.0,10.0,8.0,15.0
671218,5.0,6.0,16.0,0.0,0.0
671224,14.0,0.0,6.0,8.0,37.0
1017,11.0,0.0,0.0,11.0,40.0
1583098,36.0,13.0,33.0,18.0,43.0
157691,31.0,9.0,27.0,14.0,62.0
671230,30.0,14.0,21.0,13.0,91.0
52226,0.0,4.0,0.0,0.0,0.0
2051,0.0,1.0,0.0,0.0,0.0
246787,0.0,26.0,79.0,0.0,0.0
315405,0.0,1.0,0.0,0.0,14.0
1581072,0.0,2.0,0.0,0.0,0.0
